user_id,session_id,clip_id,hr_mean,hr_max,hr_change_from_baseline,hr_slope,hr_recovery,eda_mean,eda_change_from_baseline,eda_peak_count,eda_max_amplitude,eda_slope,eda_recovery
pau,self_20260601_210739,clip_189,,,,0.0,,1.55243,-0.11846,0,0.0,3.4e-05,-0.0838
pau,self_20260601_210739,clip_188,,,,0.0,,1.51318,0.03525,361,0.07817,4.7e-05,-0.0258
pau,self_20260601_210739,clip_187,,,,0.0,,1.52359,0.09786,465,0.17147,9e-05,-0.0169
pau,self_20260601_210739,clip_186,,,,0.0,,1.59652,0.04528,416,0.09596,5.5e-05,-0.0266
pau,self_20260601_210739,clip_185,,,,0.0,,1.68615,0.03277,429,0.07283,3e-05,-0.0202
pau,self_20260601_210739,clip_184,,,,0.0,,1.73706,0.02114,321,0.04968,1.9e-05,-0.0112
pau,self_20260601_210739,clip_183,,,,0.0,,1.78708,0.0236,370,0.05212,1.8e-05,-0.0024
pau,self_20260601_210739,clip_182,,,,0.0,,1.80042,0.0134,175,0.04228,1.6e-05,-0.0137
pau,self_20260601_210739,clip_181,,,,0.0,,1.81177,0.00657,27,0.0297,3e-06,-0.0161
pau,self_20260601_210739,clip_180,,,,0.0,,1.72507,-0.08189,0,0.0,-5.4e-05,-0.0927
pau,self_20260601_210739,clip_179,,,,0.0,,1.67943,-0.00154,46,0.04683,-4.2e-05,-0.1475
pau,self_20260601_210739,clip_178,,,,0.0,,1.41991,-0.14657,0,0.0,1e-06,-0.004
pau,self_20260601_210739,clip_177,,,,0.0,,1.39458,-0.10813,0,0.051,-0.000247,-0.2675
pau,self_20260601_210739,clip_176,,,,0.0,,1.13996,-0.06829,0,0.01265,-5.2e-05,-0.0637
pau,self_20260601_210739,clip_175,,,,0.0,,1.25312,0.08506,489,0.13664,3.1e-05,-0.0379
pau,self_20260601_210739,clip_174,,,,0.0,,1.38388,0.07655,487,0.13597,6.6e-05,-0.0331
pau,self_20260601_210739,clip_173,,,,0.0,,1.47081,0.03148,483,0.06116,-5e-06,-0.037
pau,self_20260601_210739,clip_172,,,,0.0,,1.52249,0.02202,274,0.07014,3.4e-05,-0.0225
pau,self_20260601_210739,clip_171,,,,0.0,,1.37053,-0.20489,0,0.03468,-0.000104,-0.195
pau,self_20260601_210739,clip_170,,,,0.0,,1.29496,0.01562,277,0.09066,-2.4e-05,-0.0484
pau,self_20260601_210739,clip_169,,,,0.0,,1.28995,0.18244,524,0.29309,0.000146,-0.0226
pau,self_20260601_210739,clip_168,,,,0.0,,1.35923,0.06036,358,0.16622,0.00013,0.0
pau,self_20260601_210739,clip_167,,,,0.0,,1.36019,0.19974,492,0.37225,0.000271,-0.0112
pau,self_20260601_210739,clip_166,,,,0.0,,1.1609,-0.05374,71,0.09166,-3.1e-05,-0.0524
pau,self_20260601_210739,clip_165,,,,0.0,,1.19971,0.08076,368,0.25824,0.000169,-0.0862
pau,self_20260601_210739,clip_164,,,,0.0,,1.24169,0.19429,578,0.3024,6.9e-05,-0.0765
pau,self_20260601_210739,clip_163,,,,0.0,,1.2848,0.02536,367,0.14436,-0.00013,-0.2305
pau,self_20260601_210739,clip_162,,,,0.0,,1.31669,0.05547,421,0.19018,6.6e-05,-0.1
pau,self_20260601_210739,clip_161,,,,0.0,,1.38569,0.09715,500,0.18136,6.3e-05,-0.0444
pau,self_20260601_210739,clip_160,,,,0.0,,1.3571,0.15849,514,0.27609,5.6e-05,-0.0685
pau,self_20260601_210739,clip_159,,,,0.0,,1.2838,-0.05807,5,0.10383,8.2e-05,-0.0967
pau,self_20260601_210739,clip_158,,,,0.0,,1.46421,0.06601,506,0.1345,4e-05,-0.0362
pau,self_20260601_210739,clip_157,,,,0.0,,1.48294,0.06489,495,0.19525,5e-05,-0.0951
pau,self_20260601_210739,clip_156,,,,0.0,,1.51692,0.01468,260,0.11346,4.4e-05,-0.0709
pau,self_20260601_210739,clip_155,,,,0.0,,1.54872,0.02432,407,0.09049,7e-06,-0.0942
pau,self_20260601_210739,clip_154,,,,0.0,,1.47314,-0.04403,4,0.02523,-3.8e-05,-0.066
pau,self_20260601_210739,clip_153,,,,0.0,,1.50022,0.00316,38,0.07114,-1.6e-05,-0.0677
pau,self_20260601_210739,clip_152,,,,0.0,,1.51784,0.01683,337,0.06799,-4e-06,-0.0862
pau,self_20260601_210739,clip_151,,,,0.0,,1.1999,-0.01807,148,0.12053,-5.4e-05,-0.1015
pau,self_20260601_210739,clip_150,,,,0.0,,1.06205,-0.00414,156,0.17081,-0.000122,-0.1902
pau,self_20260601_210739,clip_149,,,,0.0,,1.1725,0.08056,521,0.14426,3e-05,-0.046
pau,self_20260601_210739,clip_148,,,,0.0,,1.30736,0.08867,523,0.14961,5.9e-05,-0.0701
pau,self_20260601_210739,clip_147,,,,0.0,,1.19205,-0.01714,144,0.11641,0.000144,-0.0129
pau,self_20260601_210739,clip_146,,,,0.0,,1.2301,-0.06622,1,0.07608,-0.000225,-0.4231
pau,self_20260601_210739,clip_145,,,,0.0,,1.05751,-0.08742,135,0.14927,-0.000365,-0.4037
pau,self_20260601_210739,clip_144,,,,0.0,,1.22607,0.04293,491,0.10467,6.2e-05,-0.0226
